epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,216.761,1.16246,0.91846,1.10536,0.80491,0.58681,0.62524,0.37178,1.66046,1.38275,1.32371,0.000643101,0.000643101,0.000643101
43,256.59,1.17749,0.91816,1.10897,0.82316,0.5797,0.63042,0.36444,1.65895,1.39357,1.32155,0.000628101,0.000628101,0.000628101
44,295.954,1.14166,0.89149,1.10044,0.83338,0.58738,0.65514,0.38171,1.6062,1.33465,1.30963,0.000612981,0.000612981,0.000612981
45,335.448,1.15561,0.91172,1.10307,0.79418,0.5897,0.63039,0.36911,1.60279,1.34185,1.29123,0.000597754,0.000597754,0.000597754
46,375.124,1.13354,0.87683,1.09275,0.82879,0.58433,0.6325,0.37107,1.6148,1.3892,1.32341,0.000582435,0.000582435,0.000582435
47,414.951,1.13724,0.88211,1.09224,0.76385,0.58768,0.62123,0.36544,1.59102,1.38931,1.28714,0.00056704,0.00056704,0.00056704
48,454.544,1.12651,0.86045,1.08074,0.82803,0.59764,0.66497,0.37601,1.63885,1.37639,1.30499,0.000551584,0.000551584,0.000551584
49,493.99,1.09322,0.84836,1.0754,0.8599,0.62022,0.67385,0.39834,1.57069,1.32578,1.29198,0.000536081,0.000536081,0.000536081
50,533.628,1.09264,0.85034,1.07699,0.84642,0.59919,0.64632,0.38531,1.58775,1.36334,1.31128,0.000520548,0.000520548,0.000520548
51,573.583,1.08835,0.82708,1.06869,0.83472,0.60863,0.66172,0.39392,1.57903,1.3037,1.29501,0.000505,0.000505,0.000505
52,613.212,1.07678,0.81343,1.06304,0.8515,0.58251,0.65204,0.38799,1.58292,1.34505,1.27721,0.000489452,0.000489452,0.000489452
53,652.729,1.06362,0.80112,1.06076,0.83824,0.62284,0.67791,0.40352,1.53312,1.27211,1.2785,0.000473919,0.000473919,0.000473919
54,692.348,1.05508,0.80595,1.05582,0.85884,0.58811,0.63978,0.38314,1.55144,1.34408,1.2883,0.000458416,0.000458416,0.000458416
55,732.304,1.06495,0.81101,1.05845,0.80327,0.63337,0.66595,0.39966,1.5248,1.23175,1.26433,0.00044296,0.00044296,0.00044296
56,772.293,1.03851,0.78519,1.05027,0.84368,0.61684,0.6586,0.39521,1.53394,1.25486,1.2779,0.000427565,0.000427565,0.000427565
57,811.954,1.00473,0.76265,1.02852,0.84519,0.62233,0.68112,0.40618,1.51058,1.28191,1.26057,0.000412246,0.000412246,0.000412246
58,851.397,1.01622,0.77528,1.04238,0.87333,0.61759,0.68636,0.41184,1.46974,1.2103,1.24355,0.000397019,0.000397019,0.000397019
59,891.122,1.01579,0.76044,1.03621,0.87116,0.61924,0.67002,0.4019,1.50779,1.28184,1.24767,0.000381899,0.000381899,0.000381899
60,930.864,1.00275,0.75531,1.0278,0.83635,0.62116,0.66857,0.40804,1.49507,1.23526,1.24569,0.000366899,0.000366899,0.000366899
61,970.379,0.98831,0.74243,1.02664,0.86812,0.632,0.68817,0.41241,1.51432,1.2387,1.26513,0.000352037,0.000352037,0.000352037
62,1009.78,0.99531,0.74847,1.02765,0.82758,0.65431,0.68862,0.41741,1.47439,1.19772,1.24752,0.000337325,0.000337325,0.000337325
63,1049.48,0.98542,0.72368,1.02243,0.8635,0.63447,0.69194,0.41277,1.47956,1.24328,1.24301,0.000322778,0.000322778,0.000322778
64,1089.21,0.95156,0.7137,1.01192,0.84772,0.62869,0.67016,0.40249,1.50619,1.26916,1.27313,0.000308412,0.000308412,0.000308412
65,1128.84,0.95248,0.71128,1.00955,0.86725,0.62796,0.68346,0.40949,1.47837,1.22389,1.2542,0.000294239,0.000294239,0.000294239
66,1168.32,0.9546,0.70469,1.00885,0.83398,0.6343,0.68037,0.41946,1.46884,1.2431,1.25034,0.000280275,0.000280275,0.000280275
67,1207.94,0.94511,0.70998,1.00534,0.85105,0.63776,0.692,0.41269,1.48882,1.20444,1.24908,0.000266532,0.000266532,0.000266532
68,1247.68,0.933,0.69427,1.00886,0.84377,0.65274,0.70081,0.42923,1.43988,1.18269,1.24806,0.000253024,0.000253024,0.000253024
69,1287.48,0.92172,0.68452,1.0019,0.86598,0.65349,0.69658,0.42135,1.46956,1.20061,1.24652,0.000239766,0.000239766,0.000239766
70,1326.96,0.90928,0.6717,0.99616,0.87037,0.62771,0.68361,0.42605,1.44104,1.20305,1.23181,0.000226769,0.000226769,0.000226769
71,1366.42,0.91002,0.67935,0.99563,0.85545,0.63755,0.69652,0.43327,1.40478,1.16311,1.22513,0.000214046,0.000214046,0.000214046
72,1406.38,0.90226,0.67021,0.98764,0.86462,0.65922,0.70227,0.43205,1.42721,1.17646,1.23345,0.000201611,0.000201611,0.000201611
73,1446.02,0.90131,0.67319,0.98918,0.87766,0.64345,0.71179,0.43427,1.42661,1.14443,1.23562,0.000189475,0.000189475,0.000189475
74,1485.54,0.89651,0.65332,0.98303,0.86398,0.64965,0.70581,0.43807,1.41029,1.15666,1.23281,0.000177651,0.000177651,0.000177651
75,1525.03,0.90521,0.6677,0.99205,0.86531,0.65469,0.6983,0.43328,1.37855,1.14795,1.21776,0.000166149,0.000166149,0.000166149
76,1564.64,0.90233,0.67102,0.98936,0.87198,0.65295,0.70221,0.43555,1.40605,1.16585,1.23308,0.000154982,0.000154982,0.000154982
